visitor_zip,visitorzip_lat,visitorzip_lon,qpartysize25,qpartysize50,qpartysize75,qleadt25,qleadt50,qleadt75,qdur25,qdur50,qdur75,qdist25,qdist50,qdist75,res_count,sum_dur,sum_persnight
48509,43.026135,-83.60553,2,4,8,3,18,86,2,2,4,156.57,156.57,806.44,62,191,931
48519,42.985912,-83.610136,2,4.5,10,3,39,157.8,1,3,5,161.04,222.4,810.67,55,161,1036
48529,42.974578,-83.662852,2,2,4.75,0.25,12,59.8,2,3,5,162.32,661.83,1810.87,43,156,556
48532,43.013608,-83.797061,2,2,4,2,20,101,2,3,7,158.57,498.74,1568.73,116,613,2163
48554,43.0125,-83.6878,2,2,2,31,31,31,3,3,3,2548.97,2548.97,2548.97,1,3,6
48555,43.0125,-83.6878,1,1,1,0,0,0,2,2,2,1816.07,1816.07,1816.07,1,2,2
48601,43.414012,-83.92621,2,4,8,3,23,116,2,3,4,116.04,116.04,116.04,190,602,3223
48602,43.416637,-83.971308,2,4.5,10,7.5,48.5,159.5,2,3,4,116.57,116.57,224.3,244,889,4918
48603,43.464547,-84.025898,2,4,6,3,27.5,110,1,2,4,112.58,206.52,752.78,256,841,3597
48604,43.480737,-83.968063,2,4,6,9,99,172,2,3,5,109.6,175.28,219.92,162,614,2883
48605,43.4194,-83.9506,2,2,2,0,74,148,1,2,3,225.37,1380,2534.63,2,4,8
48606,43.4194,-83.9506,1,1.5,2,0,0,0,1,1.5,2,115.88,657.12,1198.36,2,3,4
48607,43.432466,-83.934786,1.25,2,6.5,8,32,32,1.2,2,2.8,130.67,180.12,344.53,3,6,29
48608,43.4194,-83.9506,1,2.5,5,4,83,135,1,2,4,225.37,2998.59,3006.19,10,20,97
48609,43.403004,-84.073212,2,3,5,3,26.5,138.5,1,3,4,120.24,219.12,687.31,160,492,1898
48610,44.145278,-84.193857,2,3,6,1,20.5,105,2,3,4,55.75,168.78,782.09,70,224,1705
48611,43.63942,-84.094313,2,2,4.75,1.5,27.5,173,1,3,5,96.13,201.01,469.15,108,377,1493
