,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B14005_001E,B14005_002E,B14005_003E,B14005_004E,B14005_005E,B14005_006E,B14005_007E,B14005_008E,B14005_009E,B14005_010E,B14005_011E,B14005_012E,B14005_013E,B14005_014E,B14005_015E,B14005_016E,B14005_017E,B14005_018E,B14005_019E,B14005_020E,B14005_021E,B14005_022E,B14005_023E,B14005_024E,B14005_025E,B14005_026E,B14005_027E,B14005_028E,B14005_029E,zip code tabulation area
26499,3154,404,1014,1285,364,87,356,146,138,33,0,105,8,8,5,0,3,0,0,0,0,210,178,28,10,140,32,26,6,0,20,6,0,6,0,76557
26500,2792,359,680,1201,349,203,196,82,82,0,36,46,0,0,0,0,0,0,0,0,0,114,94,21,0,73,20,20,20,0,0,0,0,0,0,76559
26501,721,128,279,222,74,18,45,21,14,4,0,10,7,6,6,0,0,1,0,1,0,24,24,2,0,22,0,0,0,0,0,0,0,0,0,76561
26502,45,9,21,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76565
26503,132,33,44,33,20,2,10,2,2,1,0,1,0,0,0,0,0,0,0,0,0,8,7,3,0,4,1,1,1,0,0,0,0,0,0,76566
26504,6122,923,2340,1931,675,253,511,194,161,12,41,108,33,0,0,0,0,33,17,0,16,317,195,0,28,167,122,51,51,0,0,71,8,56,7,76567
26505,1276,203,636,343,58,36,79,39,33,0,0,33,6,6,0,0,6,0,0,0,0,40,40,0,5,35,0,0,0,0,0,0,0,0,0,76569
26506,2003,351,791,554,182,125,147,79,69,0,15,54,10,10,6,4,0,0,0,0,0,68,49,9,0,40,19,19,19,0,0,0,0,0,0,76570
26507,4147,261,1016,1184,994,692,223,91,91,33,0,58,0,0,0,0,0,0,0,0,0,132,132,49,6,77,0,0,0,0,0,0,0,0,0,76571
26508,16,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76573
26509,12157,2429,4656,3229,1306,537,920,404,321,55,33,233,83,83,67,16,0,0,0,0,0,516,450,105,37,308,66,56,48,8,0,10,0,0,10,76574
26510,2356,507,1043,520,224,62,187,133,133,44,19,70,0,0,0,0,0,0,0,0,0,54,46,22,0,24,8,8,8,0,0,0,0,0,0,76577
26511,1141,132,426,354,202,27,140,89,84,21,0,63,5,5,5,0,0,0,0,0,0,51,49,18,0,31,2,2,2,0,0,0,0,0,0,76578
26512,3104,504,1089,990,328,193,173,80,71,3,0,68,9,9,9,0,0,0,0,0,0,93,44,14,0,30,49,29,29,0,0,20,0,5,15,76579
26513,895,235,322,322,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76596
26514,1832,513,735,514,36,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76597
26515,340,117,97,123,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76598
26516,1223,321,434,432,14,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76599
26517,754,58,262,281,103,50,42,24,23,16,0,7,1,1,0,1,0,0,0,0,0,18,18,11,0,7,0,0,0,0,0,0,0,0,0,76621
26518,810,169,293,256,74,18,39,22,7,0,0,7,15,15,15,0,0,0,0,0,0,17,14,0,0,14,3,0,0,0,0,3,0,0,3,76622
26519,95,39,27,24,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,76623
26520,1359,236,485,464,101,73,249,145,127,0,21,106,18,0,0,0,0,18,18,0,0,104,82,9,0,73,22,22,22,0,0,0,0,0,0,76624
26521,1213,138,409,374,235,57,116,49,43,31,0,12,6,6,4,2,0,0,0,0,0,67,50,26,0,24,17,13,10,0,3,4,0,0,4,76626
26522,1105,301,400,352,38,14,50,34,23,0,3,20,11,11,6,0,5,0,0,0,0,16,10,0,3,7,6,6,0,0,6,0,0,0,0,76627
26523,49,18,25,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,0,5,0,0,0,0,0,76628
26524,1445,282,581,433,107,42,81,70,62,2,17,43,8,0,0,0,0,8,0,0,8,11,11,0,0,11,0,0,0,0,0,0,0,0,0,76629
26525,1117,87,346,499,117,68,27,16,13,0,0,13,3,3,3,0,0,0,0,0,0,11,11,0,0,11,0,0,0,0,0,0,0,0,0,76630
26526,385,42,195,94,22,32,21,20,14,2,0,12,6,6,0,0,6,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,76631
26527,911,351,306,192,38,24,74,48,35,8,0,27,13,0,0,0,0,13,0,0,13,26,26,0,7,19,0,0,0,0,0,0,0,0,0,76632
26528,3995,389,1123,1233,845,405,359,250,217,73,12,132,33,33,0,0,33,0,0,0,0,109,109,42,0,67,0,0,0,0,0,0,0,0,0,76633
26529,4777,762,1663,1489,577,286,312,203,187,18,44,125,16,14,0,0,14,2,0,0,2,109,102,29,11,62,7,7,5,0,2,0,0,0,0,76634
26530,834,283,293,197,15,46,102,78,50,10,0,40,28,19,13,0,6,9,0,2,7,24,15,0,0,15,9,9,9,0,0,0,0,0,0,76635
26531,1030,135,377,410,59,49,84,26,26,2,0,24,0,0,0,0,0,0,0,0,0,58,56,2,6,48,2,2,0,2,0,0,0,0,0,76636
26532,450,70,113,131,98,38,16,7,7,6,1,0,0,0,0,0,0,0,0,0,0,9,9,7,0,2,0,0,0,0,0,0,0,0,0,76637
26533,2050,80,554,659,530,227,163,129,120,14,0,106,9,0,0,0,0,9,9,0,0,34,20,3,0,17,14,7,3,4,0,7,0,0,7,76638
26534,988,153,389,292,117,37,30,14,4,2,0,2,10,8,8,0,0,2,0,0,2,16,16,0,0,16,0,0,0,0,0,0,0,0,0,76639
26535,2017,428,762,657,120,50,69,24,24,7,9,8,0,0,0,0,0,0,0,0,0,45,19,0,0,19,26,0,0,0,0,26,0,0,26,76640
26536,1132,302,456,254,98,22,93,19,17,4,0,13,2,2,2,0,0,0,0,0,0,74,74,6,13,55,0,0,0,0,0,0,0,0,0,76641
