CustZip,visitorzip_lat,visitorzip_lon,per_family_annual_income,non_hs_educated,PopulationRaceWhite,Dist_to_park,util_days,disabled_percent,MedianAge
1611,42.235219,-71.876892,72398.81657,0.080775444,0.861730598,13.65629504,0.129348796,0.145908908,38.2
1612,42.315184,-71.934535,98004.05145,0.043563708,0.925490196,20.559837,0.082765738,0.058484349,39.2
1701,42.323168,-71.435188,82351.34847,0.053766211,0.806836019,26.46536217,0.076400679,0.09697284,43.3
1702,42.278748,-71.443616,51675.52433,0.153691491,0.524216524,23.97883612,0.062113638,0.113209072,33.7
1718,42.519469,-71.428982,85087.7551,0,0.639658849,47.30694923,0.102345416,0.040816327,42.9
1719,42.491359,-71.517726,130274.9102,0.011958998,0.788630905,41.67480486,0.227381906,0.040412044,43.3
1720,42.484174,-71.439501,125208.101,0.030814032,0.757221104,43.40743648,0.228781424,0.076997556,41.9
1721,42.25939,-71.468254,98470.08614,0.042299349,0.815404086,19.615248,0.134394022,0.08674109,40.1
1730,42.49988,-71.275308,106344.1956,0.025906736,0.840783602,49.23482558,0.153089781,0.083742354,45.3
1731,42.463052,-71.285098,93790.41096,0,0.660458453,45.94725107,0.338825215,0.018154312,22.7
1740,42.438164,-71.60489,146419.5808,0.032267793,0.93465387,35.53800371,0.122115581,0.045500302,42.8
1741,42.53213,-71.352461,207249.6165,0.005277045,0.877370157,50.43837379,0.188788129,0.070760472,46.9
1742,42.460612,-71.364231,165409.3692,0.061613876,0.871713867,42.09521063,0.176125465,0.079806602,46.9
1745,42.291501,-71.500158,67576.33136,0,0.869017632,21.52017585,0.078085642,0.091803279,43.4
1746,42.197434,-71.441187,111903.6437,0.028415183,0.933416993,15.83739639,0.140400089,0.061584216,42.9
1747,42.127,-71.535778,84374.65816,0.065364388,0.940788361,5.449767339,0.14143123,0.101244247,41.8
1748,42.226648,-71.531466,157681.7228,0.024884985,0.917051926,13.80859332,0.216549414,0.053893794,40.3
1749,42.389119,-71.538802,70661.54357,0.112782491,0.888894718,31.20836947,0.139956985,0.106265898,41
1752,42.345921,-71.550943,62099.00617,0.09937342,0.752045508,27.14057589,0.08156056,0.089052118,38.5
1754,42.428493,-71.45771,64112.45577,0.050033807,0.901444686,37.28124302,0.213932317,0.11477818,41.3
1756,42.103812,-71.544618,109782.0475,0.028108382,0.964377462,3.9888912,0.21305018,0.074724518,42.1
1757,42.153808,-71.52576,65191.0593,0.092975961,0.825416058,7.772047526,0.081893019,0.095806463,39.1
1760,42.28715,-71.352332,99767.7947,0.03311146,0.854480571,27.66996243,0.116970658,0.083300458,41.1
1770,42.231344,-71.374631,201390.1252,0.009081003,0.933479,23.54191752,0.104151493,0.029983209,45.5
1772,42.296533,-71.535209,174362.251,0.029537198,0.860192102,21.15765108,0.24909285,0.045943098,41.6
1773,42.427159,-71.312442,149798.8304,0.010520164,0.871087637,41.2310869,0.325899844,0.065118208,49.3
1775,42.429867,-71.503594,112658.3779,0.009982254,0.92245827,37.22372508,0.327465857,0.053515683,43.5
