,Annual Aggregate Family Income,zip code tabulation area
827,45010800,03266
828,27558300,03268
829,72095900,03269
830,7341500,03273
831,265956900,03275
832,166740900,03276
833,78488900,03278
834,8958300,03279
835,24421700,03280
836,253630000,03281
837,15734300,03282
838,28352100,03284
839,49036400,03285
840,31637100,03287
841,139606300,03290
842,,03291
843,1953000,03293
844,689700900,03301
845,319820100,03303
846,301048900,03304
847,136362500,03307
848,478953700,03431
849,56035300,03440
850,7857300,03441
851,29207200,03442
852,19340300,03443
853,45906500,03444
854,16615000,03445
855,135600000,03446
856,59097000,03447
857,12016000,03448
858,51355300,03449
859,22902800,03450
860,66735500,03451
861,119069800,03452
862,43271000,03455
863,19195700,03456
864,22327700,03457
865,182604200,03458
866,123968100,03461
867,59541800,03462
868,25643200,03464
869,46792000,03465
870,29843800,03466
871,49645000,03467
872,77230400,03470
873,112815200,03561
874,156495100,03570
875,49096500,03574
876,692500,03575
877,54074400,03576
878,6699000,03579
879,42535900,03580
880,69908000,03581
881,36013800,03582
882,19296600,03583
883,74400400,03584
884,53175200,03585
885,17941200,03586
886,40543600,03588
887,14781500,03590
888,24301800,03592
889,14086700,03593
890,16225700,03595
891,3937300,03597
892,52800700,03598
893,9315100,03601
894,60880600,03602
895,89730400,03603
896,6607600,03604
897,25218300,03605
898,5756400,03607
899,50194600,03608
900,23610000,03609
901,12897400,03740
902,96964100,03741
903,217461900,03743
904,36878400,03745
905,4929600,03746
906,142402900,03748
907,53453000,03750
908,17104000,03751
909,14916200,03752
910,100163200,03753
911,,03754
912,246057400,03755
913,12235600,03765
914,226290400,03766
915,99792500,03768
916,13746200,03770
917,22630600,03771
918,154623300,03773
919,31170700,03774
920,35255300,03777
921,22931000,03779
922,4865300,03780
923,67115600,03781
924,106532200,03782
925,75915000,03784
926,39938100,03785
927,526885200,03801
928,83337700,03809
929,38656300,03810
930,250882000,03811
931,7026200,03812
932,70654300,03813
933,40803000,03814
934,31718400,03816
935,8235600,03817
936,72860900,03818
937,110579800,03819
938,652096700,03820
939,65371600,03823
940,261420800,03824
941,245344500,03825
942,79670300,03826
943,110082900,03827
944,33285500,03830
945,10715600,03832
946,652238000,03833
947,154828200,03835
948,25320900,03836
949,32305600,03837
950,24742100,03838
951,71171400,03839
952,166619000,03840
953,208346700,03841
954,471160300,03842
955,97567800,03844
956,20076000,03845
957,30923000,03846
958,9022300,03847
959,194775000,03848
960,28804500,03849
961,6787600,03850
962,125561200,03851
963,7842200,03852
964,20882500,03853
965,62472300,03854
966,69733900,03855
967,77964600,03856
968,197895900,03857
969,121140300,03858
970,56279200,03860
971,138450800,03861
972,239933700,03862
973,21446000,03864
974,194378400,03865
975,387519800,03867
976,108037400,03868
977,65584000,03869
978,204620700,03870
979,,03871
980,87954800,03872
981,193387900,03873
982,193895000,03874
983,35973300,03875
984,219916800,03878
985,23422500,03882
986,2765000,03883
987,125885000,03884
988,347403800,03885
989,48296800,03886
990,37683100,03887
991,3454400,03890
992,195192500,03894
993,147452800,03901
994,42420000,03902
995,185971700,03903
996,193705200,03904
997,26912900,03905
998,99782600,03906
999,32025800,03907
1000,189593500,03908
1001,326976700,03909
1002,4594600,03910
1003,,03911
1004,48879700,04001
1005,158985900,04002
1006,11455300,04003
1007,417522700,04005
1008,,04006
1009,67728200,04008
1010,85630300,04009
1011,23889300,04010
1012,428070100,04011
1013,68047300,04015
1014,13361600,04017
1015,,04019
1016,21691200,04020
1017,260019800,04021
1018,19383800,04022
1019,11411400,04024
1020,114586100,04027
1021,28712400,04029
1022,38618000,04030
1023,246740700,04032
1024,54579100,04037
1025,424352600,04038
1026,174975100,04039
1027,68461100,04040
1028,26251100,04041
1029,91069500,04042
1030,345334500,04043
1031,223722800,04046
1032,30350100,04047
1033,51860900,04048
1034,70995000,04049
1035,4921400,04050
1036,23792100,04051
1037,74449000,04055
1038,2342400,04056
1039,,04057
1040,68288500,04061
1041,387774500,04062
1042,6144400,04063
1043,164576800,04064
1044,14080600,04066
1045,21806100,04068
1046,31897800,04069
1047,142318100,04071
1048,394072600,04072
1049,264051200,04073
1050,613783700,04074
1051,48524900,04076
1052,118744300,04079
1053,84514800,04083
1054,183971300,04084
1055,38496000,04085
1056,201031500,04086
